Year,Team,Player,G,W,L,IP,ERA,FIP,WHIP,K%,BB%,HR/9,BABIP,V_R_ERA,V_R_WHIP,V_R_AVG,V_R_OBP,V_L_ERA,V_L_WHIP,V_L_AVG,V_L_OBP
2025,KT,헤이수스,32,9,9,163.2,3.96,3.65,1.33,23.2,6.2,0.94,0.332,3.29,1.23,0.247,0.302,5.10,1.39,0.289,0.333
2025,KT,패트릭,15,3,3,60.2,3.12,3.67,1.38,16.9,7.9,0.30,0.311,2.88,1.72,0.333,0.381,3.34,1.17,0.206,0.285
2025,KT,우규민,53,1,2,44.1,2.44,3.54,1.08,13.0,1.6,0.41,0.291,1.45,0.90,0.218,0.244,4.15,1.46,0.333,0.368
2025,KT,이상동,41,3,0,43.1,2.49,3.87,0.92,20.2,5.4,0.83,0.231,2.61,0.82,0.189,0.231,2.08,0.92,0.189,0.256
2025,KT,박영현,67,5,6,69.0,3.39,3.99,1.48,25.2,11.1,1.17,0.326,2.91,1.09,0.192,0.276,4.01,1.78,0.312,0.392
2025,KT,손동현,58,5,0,58.2,3.84,3.45,1.33,21.4,4.7,0.92,0.339,5.40,1.71,0.320,0.364,3.09,1.14,0.250,0.286
2025,KT,문용익,20,1,0,28.2,3.14,4.58,1.40,25.6,15.7,0.94,0.273,1.54,1.20,0.200,0.298,4.32,1.56,0.224,0.366
2025,KT,김민수,58,4,3,52.2,4.96,4.25,1.48,15.7,6.5,0.85,0.339,5.11,1.42,0.300,0.330,4.44,1.52,0.297,0.357
2025,KT,쿠에바스,18,3,10,98.1,5.40,5.63,1.53,13.5,10.3,1.19,0.287,5.51,1.16,0.224,0.299,5.40,1.86,0.303,0.393
2025,KT,주권,34,0,1,40.2,4.43,4.65,1.50,10.8,7.4,0.66,0.326,1.65,1.65,0.323,0.380,6.46,1.44,0.293,0.340
2025,KT,최용준,7,1,0,9.0,2.00,2.89,1.67,12.8,5.1,0.00,0.406,2.70,1.35,0.292,0.346,0.00,2.57,0.462,0.462
2025,KT,원상현,52,0,3,57.0,5.21,5.52,1.60,17.4,13.5,1.26,0.286,4.39,1.54,0.255,0.353,6.35,1.62,0.257,0.357
2025,KT,박건우,6,0,0,6.2,2.70,4.25,1.20,32.1,14.3,1.35,0.214,0.00,0.75,0.111,0.200,4.50,1.50,0.200,0.333
2025,KT,조이현,3,1,2,11.2,5.40,5.59,1.46,6.0,0.0,1.54,0.341,4.05,1.20,0.296,0.321,7.71,1.71,0.400,0.400
2025,KT,전용주,21,0,1,13.2,3.95,3.55,1.83,16.7,10.6,0.00,0.375,0.00,2.00,0.333,0.400,4.91,1.64,0.283,0.346
2025,KT,배제성,8,2,3,27.0,5.67,3.86,1.81,18.1,8.7,0.67,0.400,3.52,1.43,0.290,0.333,8.74,2.12,0.360,0.429
2025,KT,강백호,1,0,0,1.0,18.00,16.52,4.00,14.3,14.3,9.00,0.500,13.50,3.00,0.500,0.500,27.00,6.00,0.500,0.667
2025,KT,한차현,2,0,0,1.2,16.20,6.26,3.60,9.1,18.2,0.00,0.500,0.00,6.00,0.000,0.667,20.25,3.00,0.500,0.500
2025,KT,김재원,4,0,0,4.1,10.38,8.26,2.54,16.7,33.3,0.00,0.273,10.80,1.80,0.200,0.400,9.00,5.00,0.250,0.667
2025,KT,이채호,10,0,0,11.2,6.17,4.87,1.46,15.1,9.4,0.77,0.306,4.05,1.35,0.280,0.345,9.64,1.71,0.313,0.409
2025,KT,김동현,3,0,0,3.1,13.50,10.94,3.00,21.1,15.8,5.40,0.500,13.50,1.88,0.364,0.417,13.50,7.50,0.600,0.714
2025,KT,이정현,6,0,0,4.1,16.62,5.88,3.00,11.1,14.8,0.00,0.474,22.50,3.50,0.545,0.538,11.57,2.57,0.300,0.500
2025,KT,최동환,20,1,1,18.2,8.68,7.32,2.09,9.9,13.2,1.93,0.354,11.25,2.00,0.324,0.410,6.10,1.94,0.325,0.429
2025,KT,임준형,5,0,0,4.0,9.00,6.22,3.00,16.7,20.8,0.00,0.500,0.00,0.00,0.000,0.250,3.00,3.33,0.385,0.556
2025,KT,강건,2,0,1,3.2,24.55,13.46,3.82,3.8,26.9,2.46,0.429,18.00,2.50,0.500,0.556,32.40,5.40,0.500,0.667
2025,두산,잭로그,30,10,8,176.0,2.81,3.26,1.05,21.6,5.4,0.41,0.281,3.62,1.27,0.260,0.323,1.86,0.68,0.165,0.213
